P_bar,z_m,Kz_cm2_s,LHF,qt,qc,ndz_cm3,rg_cm,reff_cm,rw_cm
1.31000e+01,1.26201e+05,3.13918e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.33000e+01,1.24883e+05,3.14248e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.35000e+01,1.23597e+05,3.14569e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.37000e+01,1.22344e+05,3.14890e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.39000e+01,1.21121e+05,3.15205e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.41000e+01,1.19927e+05,3.15518e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.43000e+01,1.18762e+05,3.15822e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.45000e+01,1.17623e+05,3.16127e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.47000e+01,1.16511e+05,3.16427e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.49000e+01,1.15424e+05,3.16721e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.51000e+01,1.14362e+05,3.17011e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.53000e+01,1.13323e+05,3.17301e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.55000e+01,1.12306e+05,3.17586e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.57000e+01,1.11312e+05,3.17866e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.59000e+01,1.10338e+05,3.18146e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.61000e+01,1.09385e+05,3.18419e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.63000e+01,1.08452e+05,3.18692e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.65000e+01,1.07538e+05,3.18959e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.67000e+01,1.06642e+05,3.19224e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.69000e+01,1.05765e+05,3.19486e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.71000e+01,1.04904e+05,3.19748e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.73000e+01,1.04061e+05,3.20001e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.75000e+01,1.03234e+05,3.20259e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.77000e+01,1.02422e+05,3.20508e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.79000e+01,1.01626e+05,3.20758e+13,0.00000e+00,1.34000e-04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
