pressure_bar,pressure_cgs,temperature_K,altitude_cm,qc,qt,rg_cm,reff_cm,rw_cm,ndz_cm^-2,kz_cm2_s
9.69999e-06,9.69999,335.02860870869665,155369.7008257147,0.0,0.000134,0.0,0.0,0.0,0.0,91622374530.18501
9.89999e-06,9.899989999999999,337.0928611791111,153193.8919239454,0.0,0.000134,0.0,0.0,0.0,0.0,91751523067.74248
1.0099990000000001e-05,10.09999,339.1282133540292,151090.6941684949,0.0,0.000134,0.0,0.0,0.0,0.0,91878632901.479
1.029999e-05,10.299990000000001,341.1355993525712,149056.35527260252,0.0,0.000134,0.0,0.0,0.0,0.0,92000215688.57506
1.049999e-05,10.49999,343.1159590038432,147087.36282065336,0.0,0.000134,0.0,0.0,0.0,0.0,92125040696.57841
1.069999e-05,10.69999,345.07019130859555,145180.3659315394,0.0,0.000134,0.0,0.0,0.0,0.0,92245124878.06972
1.0899989999999998e-05,10.899989999999999,346.99896529504895,143332.41936578366,0.0,0.000134,0.0,0.0,0.0,0.0,92350874769.98528
1.109999e-05,11.09999,348.9031922236587,141540.673693588,0.0,0.000134,0.0,0.0,0.0,0.0,92478959678.92267
1.1299990000000001e-05,11.299990000000001,350.7837449248881,139802.43118425898,0.0,0.000134,0.0,0.0,0.0,0.0,92593159160.02534
1.1499990000000001e-05,11.49999,352.6412135758111,138115.1927210427,0.0,0.000134,0.0,0.0,0.0,0.0,92705793537.1281
1.1699989999999999e-05,11.69999,354.47626774309606,136476.62276854215,0.0,0.000134,0.0,0.0,0.0,0.0,92815516269.74185
1.1899989999999999e-05,11.899989999999999,356.289552169605,134884.53216092553,0.0,0.000134,0.0,0.0,0.0,0.0,92924409139.42807
1.209999e-05,12.09999,358.0816965118943,133336.85500771413,0.0,0.000134,0.0,0.0,0.0,0.0,93031952109.12827
1.2299990000000002e-05,12.299990000000001,359.8532804082085,131831.65810856028,0.0,0.000134,0.0,0.0,0.0,0.0,93136441650.40353
1.249999e-05,12.49999,361.6048686999472,130367.11988256023,0.0,0.000134,0.0,0.0,0.0,0.0,93240817927.90962
1.269999e-05,12.69999,363.3370110613339,128941.51803288984,0.0,0.000134,0.0,0.0,0.0,0.0,93343208353.03766
1.289999e-05,12.899989999999999,365.0502122449362,127553.23698106561,0.0,0.000134,0.0,0.0,0.0,0.0,93443211527.68643
